entry_date_text,reference_number,amount_text,debit_account_code_raw,credit_account_code_raw,debit_account_name_src,credit_account_name_src
06/03/2025,560.5-01,298000,null,1110,null,الخزينة
06/03/2025,560.9-01,298000,1120,null,البنوك,null
13/06/2024,416-01,900000,null,1110,null,الخزينة
13/06/2024,416-01,900000,1120,null,البنوك,null
25/07/2022,921-01,100,null,2120,null,حساب مستحقات مقاولي الباطن
25/07/2022,932-01,600,1110,null,الخزينة,null
27/07/2022,921-01,100,1110,null,الخزينة,null
27/07/2022,929-01,75,null,5100,null,تكاليف تنفيذ مباشرة
28/07/2022,929-01,75,1110,null,الخزينة,null
28/07/2022,932-01,600,null,2120,null,حساب مستحقات مقاولي الباطن
30/01/2023,16-01,5037832.25,4110,null,إيرادات العقود الإنشائية الأساسية,null
30/07/2023,39-01,1389125,null,1210,null,ذمم تجارية - العملاء
30/08/2023,40-01,10452.42443,null,5100,null,تكاليف تنفيذ مباشرة
30/08/2023,42-01,1875573.5,null,1210,null,ذمم تجارية - العملاء
30/09/2023,43-01,9507.617078,null,5100,null,تكاليف تنفيذ مباشرة
30/12/2022,16-01,4754467.25,null,1210,null,ذمم تجارية - العملاء
30/12/2022,16-02,283365,null,1340,null,مواد لدى مواقع العملاء (تشوينات)